run,move,player,action,time_elapsed,nodes_expanded,col_cat,phase
16,11,1,3,0.18393802642822266,20,center,mid
16,12,-1,3,0.04669833183288574,9,center,mid
16,13,1,5,0.07885527610778809,15,edge,mid
16,14,-1,2,0.009498834609985352,3,center,mid
16,15,1,0,0.07885527610778809,15,edge,late
16,16,-1,4,0.009498834609985352,3,center,late
17,0,-1,4,0.3575735092163086,35,center,early
17,1,1,6,0.17966556549072266,21,edge,early
17,2,-1,4,0.2789163589477539,35,center,early
17,3,1,6,0.08748912811279297,17,edge,early
17,4,-1,5,0.12519001960754395,18,edge,early
17,5,1,6,0.1367931365966797,21,edge,early
17,6,-1,6,0.12519001960754395,18,edge,early
17,7,1,6,0.08060407638549805,14,edge,early
17,8,-1,0,0.09746003150939941,14,edge,mid
17,9,1,6,0.09853291511535645,14,edge,mid
17,10,-1,4,0.05971813201904297,12,center,mid
17,11,1,4,0.09853291511535645,14,center,mid
17,12,-1,1,0.11508393287658691,17,edge,mid
17,13,1,5,0.04317474365234375,10,edge,mid
17,14,-1,2,0.13877463340759277,21,center,mid
17,15,1,3,0.04317474365234375,10,center,late
17,16,-1,4,0.061595916748046875,10,center,late
17,17,1,5,0.06830382347106934,13,edge,late
17,18,-1,4,0.05479621887207031,8,center,late
17,19,1,5,0.07269096374511719,11,edge,late
17,20,-1,5,0.05479621887207031,8,edge,late
17,21,1,5,0.04714465141296387,9,edge,late
17,22,-1,1,0.04791998863220215,9,edge,late
17,23,1,3,0.031499624252319336,8,center,late
17,24,-1,0,0.013910770416259766,4,edge,late
17,25,1,3,0.030907630920410156,7,center,late
17,26,-1,3,0.013910770416259766,4,center,late
17,27,1,3,0.030907630920410156,7,center,late
18,0,-1,4,0.3376152515411377,35,center,early
18,1,1,6,0.1918482780456543,21,edge,early
18,2,-1,3,0.2935066223144531,27,center,early
18,3,1,6,0.29964160919189453,35,edge,early
18,4,-1,3,0.1629490852355957,19,center,early
18,5,1,6,0.13439321517944336,13,edge,early
18,6,-1,6,0.1629490852355957,19,edge,early
18,7,1,6,0.08015871047973633,11,edge,early
18,8,-1,3,0.20613837242126465,25,center,mid
18,9,1,3,0.08015871047973633,11,center,mid
18,10,-1,1,0.17856359481811523,24,edge,mid
18,11,1,2,0.08015871047973633,11,center,mid
18,12,-1,4,0.028323888778686523,5,center,mid
18,13,1,6,0.02260136604309082,5,edge,mid
18,14,-1,0,0.03038644790649414,5,edge,mid
18,15,1,5,0.011519670486450195,3,edge,late
18,16,-1,3,0.016674041748046875,3,center,late
18,17,1,5,0.01017451286315918,3,edge,late
18,18,-1,5,0.016674041748046875,3,edge,late
19,0,-1,3,0.37607383728027344,35,center,early
19,1,1,6,0.21961188316345215,21,edge,early
19,2,-1,5,0.29344844818115234,35,edge,early
19,3,1,6,0.1054677963256836,13,edge,early
19,4,-1,2,0.21103978157043457,25,center,early
19,5,1,4,0.1054677963256836,13,center,early
19,6,-1,6,0.1663343906402588,23,edge,early
19,7,1,6,0.17014551162719727,20,edge,early
19,8,-1,6,0.15247273445129395,21,edge,mid
19,9,1,6,0.09325027465820312,13,edge,mid
19,10,-1,2,0.09810400009155273,13,center,mid
19,11,1,5,0.09136557579040527,17,edge,mid
19,12,-1,5,0.05292367935180664,11,edge,mid
19,13,1,5,0.0673670768737793,15,edge,mid
19,14,-1,1,0.07226204872131348,11,edge,mid
19,15,1,0,0.0673670768737793,15,edge,late
19,16,-1,5,0.05905890464782715,9,edge,late
19,17,1,5,0.08279633522033691,15,edge,late
19,18,-1,2,0.042133331298828125,9,center,late
19,19,1,2,0.08279633522033691,15,center,late
19,20,-1,4,0.0406346321105957,7,center,late
19,21,1,4,0.02507472038269043,7,center,late
19,22,-1,1,0.09413576126098633,20,edge,late
19,23,1,3,0.02507472038269043,7,center,late
19,24,-1,1,0.09813785552978516,18,edge,late
19,25,1,1,0.02507472038269043,7,edge,late
19,26,-1,4,0.08131837844848633,16,center,late
19,27,1,3,0.02507472038269043,7,center,late
19,28,-1,3,0.08131837844848633,16,center,late
19,29,1,4,0.02507472038269043,7,center,late
19,30,-1,4,0.059236764907836914,12,center,late
19,31,1,3,0.03671073913574219,9,center,late
19,32,-1,2,0.042594194412231445,10,center,late
19,33,1,3,0.028704404830932617,7,center,late
19,34,-1,2,0.031270742416381836,8,center,late
19,35,1,1,0.019452333450317383,5,edge,late
19,36,-1,1,0.022147417068481445,6,edge,late
19,37,1,0,0.012364864349365234,3,edge,late
19,38,-1,0,0.011240482330322266,4,edge,late
19,39,1,0,0.012364864349365234,3,edge,late
19,40,-1,0,0.005560398101806641,2,edge,late
19,41,1,0,0.012364864349365234,3,edge,late
20,0,-1,3,0.3313121795654297,35,center,early
20,1,1,6,0.19763970375061035,21,edge,early
20,2,-1,4,0.2077493667602539,27,center,early
20,3,1,6,0.2754178047180176,35,edge,early
20,4,-1,1,0.1411879062652588,20,edge,early
20,5,1,2,0.2754178047180176,35,center,early
20,6,-1,5,0.22068405151367188,35,edge,early
20,7,1,6,0.17984914779663086,23,edge,early
20,8,-1,6,0.22068405151367188,35,edge,mid
20,9,1,6,0.13089966773986816,15,edge,mid
20,10,-1,3,0.15156292915344238,24,center,mid
20,11,1,6,0.08781838417053223,13,edge,mid
20,12,-1,0,0.061844587326049805,13,edge,mid
20,13,1,5,0.18385100364685059,29,edge,mid
20,14,-1,1,0.12847065925598145,19,edge,mid
20,15,1,5,0.05979585647583008,11,edge,late
20,16,-1,1,0.09684586524963379,17,edge,late
20,17,1,1,0.05979585647583008,11,edge,late
20,18,-1,2,0.010540008544921875,3,center,late
20,19,1,0,0.05979585647583008,11,edge,late
20,20,-1,4,0.010540008544921875,3,center,late
21,0,-1,3,0.252640962600708,35,center,early
21,1,1,6,0.1519472599029541,21,edge,early
21,2,-1,1,0.18591809272766113,22,edge,early
21,3,1,6,0.1846637725830078,32,edge,early
21,4,-1,2,0.0054590702056884766,3,center,early
21,5,1,0,0.1846637725830078,32,edge,early
21,6,-1,4,0.0054590702056884766,3,center,early
22,0,-1,5,0.29458141326904297,35,edge,early
22,1,1,6,0.18997836112976074,25,edge,early
22,2,-1,1,0.1738414764404297,25,edge,early
22,3,1,6,0.2692432403564453,31,edge,early
22,4,-1,6,0.26377391815185547,23,edge,early
22,5,1,6,0.14275169372558594,16,edge,early
22,6,-1,4,0.2565727233886719,35,center,early
22,7,1,6,0.17575407028198242,23,edge,early
22,8,-1,5,0.12564539909362793,19,edge,mid
22,9,1,6,0.15564560890197754,25,edge,mid
22,10,-1,0,0.10183477401733398,14,edge,mid
22,11,1,5,0.09878230094909668,17,edge,mid
22,12,-1,4,0.10196995735168457,14,center,mid
22,13,1,5,0.08620762825012207,12,edge,mid
22,14,-1,5,0.08004260063171387,12,edge,mid
22,15,1,5,0.0707406997680664,13,edge,late
22,16,-1,2,0.049831390380859375,10,center,late
22,17,1,3,0.0707406997680664,13,center,late
22,18,-1,4,0.037105560302734375,8,center,late
22,19,1,4,0.0707406997680664,13,center,late
22,20,-1,3,0.02334904670715332,6,center,late
22,21,1,2,0.0707406997680664,13,center,late
22,22,-1,3,0.008333206176757812,2,center,late
22,23,1,3,0.0707406997680664,13,center,late
23,0,-1,3,0.3152744770050049,35,center,early
23,1,1,6,0.22336745262145996,21,edge,early
23,2,-1,4,0.27338576316833496,27,center,early
23,3,1,6,0.26601195335388184,35,edge,early
23,4,-1,3,0.16915559768676758,19,center,early
23,5,1,6,0.10295605659484863,13,edge,early
23,6,-1,6,0.16915559768676758,19,edge,early
23,7,1,6,0.045829057693481445,11,edge,early
23,8,-1,3,0.14220428466796875,25,center,mid
23,9,1,3,0.045829057693481445,11,center,mid
23,10,-1,1,0.15407943725585938,24,edge,mid
23,11,1,2,0.045829057693481445,11,center,mid
23,12,-1,3,0.08667731285095215,13,center,mid
23,13,1,6,0.14624309539794922,21,edge,mid
23,14,-1,4,0.0203549861907959,5,center,mid
23,15,1,5,0.009967327117919922,3,edge,late
23,16,-1,4,0.017761945724487305,5,center,late
23,17,1,4,0.009967327117919922,3,center,late
23,18,-1,3,0.012839078903198242,3,center,late
23,19,1,5,0.009677648544311523,3,edge,late
23,20,-1,5,0.012839078903198242,3,edge,late
24,0,-1,1,0.32677364349365234,35,edge,early
24,1,1,6,0.2874770164489746,41,edge,early
24,2,-1,5,0.24910950660705566,25,edge,early
24,3,1,6,0.3315267562866211,31,edge,early
24,4,-1,6,0.25064563751220703,23,edge,early
24,5,1,6,0.16889667510986328,16,edge,early
24,6,-1,2,0.12282609939575195,18,center,early
24,7,1,6,0.18510794639587402,35,edge,early
24,8,-1,0,0.18428826332092285,27,edge,mid
